ID	COLNR	DATE	LongD	LongM	LongS	LongH	LatD	LatM	LatS	LatH	SPECIES	SCODE_NEW	SUB_NEW	SP_ID	COUNTRY	ADM1	ADM2	LOCALITY	PLRV1	PLRV2	FROST
124	HOF 1658	19700101	65	23	0	W	22	10	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Suripugio.	R*	S	100
251	OCH 12069a		77	21	0	W	9	40	12	S	S. acaule Bitter	acl		1	PERU	Ancash	Recuay	"Between Ticapampa and Pass of Cahuish, heights of route to Chavin."	R*	S	100
252	OCH 12069	19780131	77	21	0	W	9	40	0	S	S. acaule Bitter	acl	PNE	1	PERU	Ancash	Recuay	"Recuay.  Between Ticapampa and Pass of Cahuish, heights of route to Chavin."	R*	S	100
276	OCH 11322		76	14	0	W	12	9	0	S	S. acaule Bitter	acl	ACL	1	PERU	Lima	Huarochiri	Huarochiri	RLR	S	100
3	HHA 6604	19800314	66	10	0	W	17	18	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Cercado	"Cercado.  Sierra de Tuunari, near Lake Huara Huara, at the end of the road, 23.5 km from the park entry."	S	S	100
18	OKA 3922A	19710406	66	6	0	W	21	55	48	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.	S	S	100
25	HHA 6617	19800315	66	3	0	W	17	14	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Chapare	Chapare.  35 km from Tranca de Sacaba on the road to Palca.	S	S	100
26	HHA 6626	19800315	66	3	0	W	17	15	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Chapare	Chapare.  29 km from Tranca de Sacaba on the road to Palca.	S	S	100
33	OKA 3720	19710221	65	57	0	W	22	6	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Route 5, 4 km E of Puesto Grande on the road to La Queaca."	S	S	100
34	OCH 11961	19780317	65	55	13	W	21	33	31	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Potosi	Sud Chichas	Sud Chichas.  Pass of Machu Cruz.	S	S	100
42	OCH 11965	19780131	65	51	34	W	21	33	55	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Potosi	Sud Chichas	Sud Chichas.  In route from Machu Cruz to Tupiza.	S	S	100
74	HOF 1644	19700101	65	42	0	W	23	13	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Cochinoca	"Mina El Aguilar, road to Veta Nivel."	S	S	100
79	OKA 4364B	19720321	65	42	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tumbaya	"Yuto Pampa area, Casa Colorado a Molulo."	S	S	100
134	HOF 1661	19700215	65	18	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Cajas, Playa del rio."	S	S	100
136	HHR 3813	19660312	65	17	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	2.8 km above Rincon de Cajas on the road to Santa Victoria.	S	S	100
153	HHR 3814	19660312	65	13	0	W	22	10	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	5.2 km E of Abra de Lizoite on the road from Yavi to Santa Victoria	S	S	100
180	OKA 4412	19720324	65	10	0	W	23	35	0	S	S. acaule Bitter	acl	AEM	1	ARGENTINA	Jujuy	Tilcara	"Piedra Parada area, Morron del Carrascal."	S	S	100
203	HOF 1734	19700101	65	5	0	W	22	25	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	Road to Trigohuaico.	S	S	100
207	HHR 3872	19660315	65	4	0	W	22	15	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"Above Rodeopampa, 13 km from Santa Victoria on the road to La Quiaca."	S	S	100
231	HOF 1997	19710317	64	57	0	W	22	17	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	El Chorro.	S	S	100
239	HOF 1919	19710310	64	54	0	W	22	15	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"Abra de Meson, 10 km E of Santa Victoria."	S	S	100
250	OCH 13005		77	34	48	W	8	37	48	S	S. acaule Bitter	acl		1	PERU	Ancash	Sihuas	"Puca Chaca, between Tarica and Sihuas."	S	S	100
253	OCH 12092		77	18	0	W	9	49	12	S	S. acaule Bitter	acl		1	PERU	Ancash	Recuay	Carpa	S	S	100
262	OCH 12073	19780131	77	2	0	W	9	24	0	S	S. acaule Bitter	acl	ACL	1	PERU	Ancash	Huari	Huari.  Tambillo.	S	S	100
268	OCH S-83		76	35	0	W	9	16	0	S	S. acaule Bitter	acl	PNE	1	PERU	Huanuco	Huamalies	"Huamalies.  Luichocancha, district of Tantamayo."	S	S	100
280	CPC 528.7.2		76	8	57	W	12	28	21	S	S. acaule Bitter	acl	ACL	1	PERU	Lima	Yauyos	Puna.  Ilpa.	S	S	100
289	OCH 11336		75	26	0	W	11	42	0	S	S. acaule Bitter	acl	PNE	1	PERU	Junin	Jauja	Yauli	S	S	100
291	COR P.751	19600229	75	18	44	W	11	36	0	S	S. acaule Bitter	acl	PNE	1	PERU	Junin	Jauja	Km 34 between Jauja and Tarma.	S	S	100
347	HJT 1582	19530305	71	6	0	W	14	10	0	S	S. acaule Bitter	acl	ACL	1	PERU	Cuzco	Canchis	Canchis.  30 km towards Puno from Sicuani.	S	S	100
513	HHA 6571	19800310	66	51	44	W	17	15	14	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Ayopaya	"Ayopaya.  27 km from Kami on the road from Cruce de Challa to Independencia, Abra de Ornoni."	S	S	100
529	HHA 6700	19800304	66	30	0	W	17	10	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Ayopaya	"Ayopaya.  34 km from turning off the Morochata-Cochabamba road towards Cocapata, Viscachas."	S	S	100
123	HHR 3904	19660316	65	23	0	W	22	57	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Between Iturbe and Tres Cruces, between the railway and the river at km 1316."	S	S	
230	HOF 1509	19700101	64	57	0	W	23	33	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Valle Grande	Near Pampichuela on way from Ledesma to Valle Grande.	S	S	
2	HHA 6601	19800314	66	10	0	W	17	18	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Cercado	"Cercado.  Sierra de Tunari, near Lake Huara Huara at the end of the road, 23.5 km from the park entrance."		S	100
5	OKA 3936	19710406	66	9	0	W	21	55	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Finca La Buena Esperanza (Tolapampa), (Sr Anselmo Salinas), 30 km W of Santa Catalina."		S	100
6	OKA 3982	19710407	66	8	0	W	22	6	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Oratorio, route 64."		S	100
7	OKA 5515	19740204	66	8	0	W	22	6	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Oratorio, route 64."		S	100
11	OKA 3909	19710405	66	7	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"San Francisco, 12 km W of Santa Catalina."		S	100
13	OKA 5510	19740204	66	7	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"San Francisco, 12 km W of Santa Catalina, near El Angosto."		S	100
14	OKA 5591	19740405	66	7	0	W	24	19	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Rosario de Lerma	"La Bomba, 11 km NW of Las Cuevas, Finca de Elias Cruz."		S	100
15	OKA 3918	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.		S	100
17	OKA 3921	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.		S	100
20	OKA 3927	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.		S	100
21	OKA 3928	19710406	66	6	0	W	21	53	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	10 km W of Santa Catalina.		S	100
22	OKA 4861	19730327	66	6	0	W	24	19	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Rosario de Lerma	"Cuesta de Munano, 13 km NW of Las Cuevas on route 51."		S	100
23	OKA 6781B	19780419	66	4	0	W	22	0	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	5 km S of Santa Catalina.		S	100
27	OKA 5512	19740204	66	3	0	W	21	57	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Santa Catalina, in an abandoned church yard."		S	100
28	OKA 3987	19710408	66	2	0	W	22	18	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	"Rio Guayatayoc, Rinconada, route 66."		S	100
29	OKA 6783	19780420	66	2	0	W	22	17	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Rinconada	Rio Guayatayoc.		S	100
43	OKA 5955	19740105	65	51	0	W	23	15	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Cochinoca	"21 km from Abra Pampa, on route 7."		S	100
45	OKA 5051B	19730614	65	50	0	W	25	20	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	San Carlos	"Isonza, Las Aguadas, road to Cachipampa and Amblayo."		S	100
46	HHR 3740	19660306	65	49	45	W	25	11	5	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Chicoana	"21.4 km above Escoipe on road to Cachi, Cuesta del Obispo."		S	100
48	OKA 3722	19710221	65	49	0	W	22	6	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Toquero, 7 km W of Cerrillos."		S	100
49	OKA 3907	19710405	65	49	0	W	22	6	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Santa Catalina	"Route 5, Toquero, 8 km W of Tafna, in the proximity of the village."		S	100
51	OKA 5543	19740304	65	48	0	W	23	52	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tumbaya	"El Moreno, Finca de Telesforo Flores."		S	100
53	OKA 3889	19710405	65	45	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Tafna.		S	100
54	OKA 3890A	19710405	65	45	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Tafna.		S	100
56	EBS 1781		65	45	0	W	26	47	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi Del Valle	"Quebrada Honda, 84 km"		S	100
57	HJT 329	19520226	65	45	0	W	26	47	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Infiernillo, Quebrada Honda."		S	100
58	OKA 5693	19740411	65	45	0	W	26	46	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Route 307, 83 km marker between Infiernillos and Tafi del Valle."		S	100
59	OKA 5694	19740411	65	45	0	W	26	46	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Km 83, between Infiernellos and Tafi del Valle."		S	100
60	OKA 5696	19740411	65	45	0	W	26	46	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Route 307, km 83, between Infiernillos and Tafi de Valle."		S	100
61	OKA 5704	19740411	65	45	0	W	26	46	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Km 83, between Infiernellos and Tafi del Valle."		S	100
64	HHR 3482	19660215	65	44	0	W	26	44	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	"Near Infiernillo, Quebrada Honda, above km 83 from Tafi del Valle to Cafayate, above La Casita."		S	100
65	OKA 3885	19710404	65	44	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Rio Chico, near La Quiaca before Santa Catalina."		S	100
70	HHCH 4243	19710126	65	43	0	W	17	26	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Arani	"Arani.  Koari, 87 km from Cochabamba towards Santa Cruz."		S	100
71	HHCH 4246	19710126	65	43	0	W	17	26	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Cochabamba	Arani	"Arani.  Koari, 87 km from Cochabamba towards Santa Cruz."		S	100
75	OKA 3878	19710404	65	42	0	W	22	7	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Condorhuasi.		S	100
76	OKA 3883	19710404	65	42	0	W	22	7	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Mina Silivana Luisa, km 15-16 on route 5, Condorhuasi."		S	100
77	OKA 3884	19710404	65	42	0	W	22	7	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Mina Silivana Luisa, km 15-16 on route 5, Condorhuasi."		S	100
80	BRU 33		65	41	0	W	26	52	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Tucuman	Tafi del Valle	Tafi de Valle.		S	100
82	HHCH 4582	19710306	65	40	0	W	19	30	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Potosi	Tomas Frias	Frias.  Km 160 from Sucre to Potosi.		S	100
83	HHCH 4587	19710307	65	40	0	W	19	38	0	S	S. acaule Bitter	acl	ACL	1	BOLIVIA	Potosi	Linares	Frias.  1 km above the road to Lecherias.		S	100
91	HOF 1624	19700101	65	38	0	W	22	22	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Mina La Belgica, SE 12 km of Pumahuasi."		S	100
102	HOF 1607	19700101	65	31	0	W	22	56	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Route 9, 10 km from Tres Cruces."		S	100
103	OKA 5731	19740417	65	29	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Lecho, 1 km W of Yavi."		S	100
104	OKA 5733	19740417	65	29	0	W	22	8	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Lecho, 1 km W of Yavi."		S	100
106	HJT 970	19530216	65	28	0	W	22	20	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Yavi.		S	100
109	OKA 4378	19720322	65	27	0	W	22	31	48	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Inticanchi.		S	100
110	OKA 4547	19720406	65	27	0	W	23	10	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Sa Alta, route 14, Coraya."		S	100
111	OKA 4548	19720406	65	27	0	W	23	10	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Sa Alta, route 14, Coraya."		S	100
113	OKA 6758	19780417	65	27	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	Extacion Azul Pampa.		S	100
114	OKA 4551	19720408	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Route 9, Esquina Blanca, about 100 m N of the ford with the rio Grande."		S	100
115	OKA 4566	19720410	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Route 9, 12 km N of Esquina Blanca on the road to Tres Cruces."		S	100
116	OKA 5420	19740328	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Esquina Blanca, 100 m N of the ford with the Rio Grande and route 9."		S	100
117	OKA 6759	19780417	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	Esquina Blanca.		S	100
118	OKA 4552	19720408	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Route 9, Esquina Blanca, about 500 m N of the ford, between the rio Grande, and near the house with the willow."		S	100
119	OKA 6760	19780417	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	Esquina Blanca.		S	100
120	OKA 6761	19780417	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	Esquina Blanca.		S	100
121	OKA 6762	19780417	65	26	0	W	22	58	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	Esquina Blanca.		S	100
125	HJT 344	19520321	65	22	28	W	23	48	41	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tumbaya	"Estancia Vieju, near the house."		S	100
126	OKA 5753	19740418	65	21	0	W	22	24	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Sierra de la Victoria.		S	100
127	OKA 5756	19740418	65	21	0	W	22	19	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Cholacor, 10 km NW of Condor, near Chalguamayo."		S	100
128	OKA 5757	19740418	65	21	0	W	22	18	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Aqua Chia.		S	100
129	SLU L	19530131	65	20	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	Up from Casa Colorada.		S	100
131	OKA 6794	19780421	65	19	0	W	22	56	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Chaupi Rodero, between Iturbe and Iruya."		S	100
137	OKA 4575	19720411	65	17	0	W	22	56	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Rodero, 5 km in the direction of Iruya."		S	100
138	OKA 5431	19740329	65	17	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Rincon de Cajas, 20 km E of Yavi, 500 m E of del Puesto de Gendarmeria on route 5."		S	100
139	OKA 5458	19740330	65	17	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Rincon de Cajas, Finca de Marcos Cruz, route 5."		S	100
140	OKA 5459	19740330	65	17	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Rincon de Cajas, Finca de Marcos Cruz, route 5."		S	100
141	OKA 5815	19740422	65	17	0	W	22	9	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Inticancha, 7 km NE of Cruce, on route 5."		S	100
142	OKA 6765	19780418	65	17	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	Cajas.		S	100
143	HJT 353A	19520324	65	17	0	W	23	43	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	Between Quebrada del Chorro and Laguna Colorada.		S	100
144	OKA 6732	19780331	65	17	0	W	23	12	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Pucara, Finca de Luciano Fernandez."		S	100
145	HJT 353B	19520324	65	17	0	W	23	43	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	Between Quebrada del Chorro and Laguna Colorada.		S	100
146	OKA 4492A	19720326	65	16	0	W	23	34	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	By the Colorada home by the Ventura River.		S	100
148	OKA 6230	19760420	65	15	0	W	22	13	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	"Yavi, 45 km E of La Quiaca, route 5, near Santa Victoria."		S	100
149	HJT 6476	19790406	65	15	0	W	22	13	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Yavi	42 km from La Quiaca towards Santa Victoria.		S	100
154	OKA 5816	19740422	65	13	0	W	22	14	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"On the way from Lizoite, 4 km on route 5."		S	100
155	OKA 5820	19740422	65	13	0	W	22	15	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"On the way from Lizoite, 8 km on route 5."		S	100
161	OKA 4359	19720321	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"Piedra Rosada, Casa Colorado, by the Ventura River."		S	100
162	OKA 4360	19720321	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"Piedra Rosada, Casa Colorado, by the Ventura River."		S	100
163	OKA 4363	19720321	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	AEM	1	ARGENTINA	Jujuy	Tilcara	On the path to Casa Colorada and Molulo.		S	100
164	OKA 4423	19720324	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"El Angosto, rio de la Laguna, and road to Casa Colorada and El Durazno."		S	100
165	OKA 5363	19740326	65	12	0	W	23	7	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Humahuaca	"Serrania to Aparzo, 8 km before Ilegar a Aparzo."		S	100
166	OKA 4361	19720321	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	AEM	1	ARGENTINA	Jujuy	Tilcara	"Piedra Rosada, by the Ventura River."		S	100
167	OKA 4416	19720324	65	12	0	W	23	34	48	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"Ventura River, along the road to El Durazno and Casa Colorada."		S	100
168	OKA 4418	19720324	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"Puesto Ventura, at the edge of the Ventura River."		S	100
169	OKA 5832	19740422	65	12	0	W	22	16	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Salta	Santa Victoria	"On the way from Lizoite, 10 km on route 5."		S	100
170	BRU 802	19571011	65	12	0	W	23	35	0	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	Despensa high mountains near Tilcara.		S	100
173	OKA 4380	19720322	65	10	34	W	23	34	29	S	S. acaule Bitter	acl	ACL	1	ARGENTINA	Jujuy	Tilcara	"Piscuno, Casa Colorado-Molulo road."		S	100
